1,1_TYPE,"Eldon Base for stackable storage shelf, platinum","Eldon Base for stackable storage shelf, platinum_TYPE","Muhammed MacIntyre","Muhammed MacIntyre_TYPE",3,3_TYPE,-213.25,-213.25_TYPE,38.94,38.94_TYPE,35,35_TYPE,Nunavut,Nunavut_TYPE,"Storage & Organization","Storage & Organization_TYPE",0.8,0.8_TYPE
502,Number,"Hewlett-Packard Deskjet 5550 Color Inkjet Printer",Mix,"Roy French",String,769,Number,4.15,Number,115.99,Number,56.14,Number,"Prince Edward Island",String,"Office Machines",String,0.4,Number
503,Number,"Talkabout T8367",Mix,"Helen Abelman",String,773,Number,324.93,Number,65.99,Number,8.99,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.56,Number
504,Number,"Logitech Access Keyboard",String,"Guy Armstrong",String,1187,Number,20.21,Number,15.98,Number,4,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.37,Number
505,Number,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",String,"Jennifer Braxton",String,2339,Number,-120.45,Number,140.85,Number,19.99,Number,"Prince Edward Island",String,"Storage & Organization",String,0.73,Number
506,Number,"Newell 336",Mix,"Giulietta Baptist",String,3521,Number,28.71,Number,4.28,Number,0.94,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.56,Number
507,Number,"Conquest™ 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",Mix,"Jack Lebron",String,4007,Number,112.36,Number,56.96,Number,13.22,Number,"Prince Edward Island",String,Appliances,String,0.56,Number
508,Number,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",String,"Jack Lebron",String,4007,Number,-232.24,Number,279.48,Number,35,Number,"Prince Edward Island",String,"Storage & Organization",String,0.8,Number
509,Number,"GBC DocuBind P100 Manual Binding Machine",Mix,"Erica Bern",String,4416,Number,2665.40,Number,165.98,Number,19.99,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.4,Number
510,Number,"Avery 497",Mix,"Erica Bern",String,4454,Number,21.42,Number,3.08,Number,0.5,Number,"Prince Edward Island",String,Labels,String,0.37,Number
511,Number,"SAFCO Folding Chair Trolley",String,"Helen Abelman",String,5153,Number,1467.82,Number,128.24,Number,12.65,Number,"Prince Edward Island",String,"Chairs & Chairmats",String,,String
512,Number,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",Mix,"Guy Armstrong",String,5446,Number,44.10,Number,10.98,Number,4.8,Number,"Prince Edward Island",String,Envelopes,String,0.36,Number
513,Number,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Mix,"Helen Abelman",String,8131,Number,191.29,Number,29.89,Number,1.99,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.5,Number
514,Number,"Keytronic Designer 104- Key Black Keyboard",Mix,"Christopher Schild",String,8994,Number,-580.32,Number,40.48,Number,19.99,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.77,Number
515,Number,Accessory31,Mix,"Roy French",String,9027,Number,458.98,Number,35.99,Number,0.99,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.35,Number
516,Number,"Avanti 4.4 Cu. Ft. Refrigerator",Mix,"Roy French",String,9216,Number,-86.68,Number,180.98,Number,55.24,Number,"Prince Edward Island",String,Appliances,String,0.57,Number
517,Number,"Bush Mission Pointe Library",String,"Jennifer Braxton",String,9537,Number,-382.38,Number,150.98,Number,66.27,Number,"Prince Edward Island",String,Bookcases,String,0.65,Number
518,Number,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Mix,"Jennifer Braxton",String,9537,Number,-149.09,Number,3.81,Number,5.44,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.36,Number
519,Number,"Ibico Covers for Plastic or Wire Binding Elements",String,"Joy Smith",String,9574,Number,-68.98,Number,11.5,Number,7.19,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.4,Number
520,Number,"Boston KS Multi-Size Manual Pencil Sharpener",String,"Evan Minnotte",String,10435,Number,-14.31,Number,22.99,Number,8.99,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.57,Number
521,Number,"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",String,"Evan Minnotte",String,10435,Number,-162.24,Number,11.66,Number,7.95,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.58,Number
522,Number,"Martin-Yale Premier Letter Opener",String,"Jenna Caffey",String,10851,Number,-175.13,Number,12.88,Number,4.59,Number,"Prince Edward Island",String,"Scissors, Rulers and Trimmers",String,0.82,Number
523,Number,"Recycled Premium Regency Composition Covers",String,"Harold Engle",String,10852,Number,-27.26,Number,15.28,Number,10.91,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.36,Number
524,Number,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Mix,"Harold Engle",String,10852,Number,3030.16,Number,300.98,Number,54.92,Number,"Prince Edward Island",String,Bookcases,String,0.55,Number
525,Number,i1000,Mix,"Harold Engle",String,11269,Number,354.96,Number,65.99,Number,5.99,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.58,Number
526,Number,"Avery 493",Mix,"Harold Engle",String,11269,Number,112.35,Number,4.91,Number,0.5,Number,"Prince Edward Island",String,Labels,String,0.36,Number
527,Number,"Fellowes Super Stor/Drawer®",String,"Harold Engle",String,11269,Number,-19.32,Number,27.75,Number,19.99,Number,"Prince Edward Island",String,"Storage & Organization",String,0.67,Number
528,Number,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Mix,"Hilary Holden",String,11362,Number,569.57,Number,110.98,Number,13.99,Number,"Prince Edward Island",String,"Office Furnishings",String,0.69,Number
529,Number,"*Staples* Letter Opener",String,"Hilary Holden",String,11362,Number,-119.66,Number,2.18,Number,5,Number,"Prince Edward Island",String,"Scissors, Rulers and Trimmers",String,0.81,Number
530,Number,"Canon PC1060 Personal Laser Copier",Mix,"Hilary Holden",String,11362,Number,-690.21,Number,699.99,Number,24.49,Number,"Prince Edward Island",String,"Copiers and Fax",String,0.41,Number
531,Number,"LX 677",Mix,"Hilary Holden",String,11362,Number,424.14,Number,110.99,Number,8.99,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.57,Number
532,Number,"Avery Hi-Liter® Fluorescent Desk Style Markers",String,"Christopher Schild",String,11968,Number,26.09,Number,3.38,Number,0.85,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.48,Number
533,Number,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Mix,"Harold Engle",String,12293,Number,119.64,Number,8.74,Number,1.39,Number,"Prince Edward Island",String,Envelopes,String,0.38,Number
534,Number,"Acco Suede Grain Vinyl Round Ring Binder",String,"Greg Guthrie",String,12773,Number,-4.61,Number,2.78,Number,1.49,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.39,Number
535,Number,"Eldon Image Series Black Desk Accessories",String,"Greg Guthrie",String,12773,Number,-49.60,Number,4.14,Number,6.6,Number,"Prince Edward Island",String,"Office Furnishings",String,0.49,Number
536,Number,"Xerox 213",Mix,"Greg Guthrie",String,12773,Number,-77.18,Number,6.48,Number,7.86,Number,"Prince Edward Island",String,Paper,String,0.37,Number
537,Number,"Newell 342",Mix,"Greg Guthrie",String,12773,Number,-50.88,Number,3.28,Number,3.97,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.56,Number
538,Number,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",Mix,"Guy Armstrong",String,12934,Number,186.64,Number,9.78,Number,1.39,Number,"Prince Edward Island",String,Envelopes,String,0.39,Number
539,Number,"Newell 337",Mix,"Guy Armstrong",String,12934,Number,-66.35,Number,3.28,Number,3.97,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.56,Number
540,Number,"GBC Binding covers",String,"Joy Smith",String,13120,Number,82.59,Number,12.95,Number,4.98,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.4,Number
541,Number,"GBC Standard Therm-A-Bind Covers",String,"Joy Smith",String,13120,Number,-17.37,Number,24.92,Number,12.98,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.39,Number
542,Number,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",String,"Erica Bern",String,13604,Number,1166.40,Number,83.1,Number,6.13,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.45,Number
543,Number,"Eldon ClusterMat Chair Mat with Cordless Antistatic Protection",String,"Erica Bern",String,13604,Number,-1396.22,Number,90.98,Number,56.2,Number,"Prince Edward Island",String,"Office Furnishings",String,0.74,Number
544,Number,"Xerox 1985",Mix,"Dan Reichenbach",String,13927,Number,-21.41,Number,6.48,Number,5.16,Number,"Prince Edward Island",String,Paper,String,0.37,Number
545,Number,"Zoom V.92 V.44 PCI Internal Controllerless FaxModem",Mix,"Erica Bern",String,15044,Number,167.37,Number,39.99,Number,10.25,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.55,Number
546,Number,"Global Leather and Oak Executive Chair, Black",String,"Guy Armstrong",String,15139,Number,636.20,Number,300.98,Number,64.73,Number,"Prince Edward Island",String,"Chairs & Chairmats",String,0.56,Number
547,Number,"Tennsco Lockers, Sand",String,"Guy Armstrong",String,15139,Number,-1163.21,Number,20.98,Number,45,Number,"Prince Edward Island",String,"Storage & Organization",String,0.61,Number
548,Number,"Xerox 1920",Mix,"Evan Minnotte",String,15463,Number,-193.48,Number,5.98,Number,7.5,Number,"Prince Edward Island",String,Paper,String,0.4,Number
549,Number,"Xerox 1928",Mix,"Joy Smith",String,15618,Number,-34.98,Number,5.28,Number,6.26,Number,"Prince Edward Island",String,Paper,String,0.4,Number
550,Number,"Xerox 1939",Mix,"Joy Smith",String,15618,Number,26.27,Number,18.97,Number,9.54,Number,"Prince Edward Island",String,Paper,String,0.37,Number
551,Number,"StarTAC 7760",Mix,"Joy Smith",String,15618,Number,-11.40,Number,65.99,Number,3.99,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.59,Number
552,Number,"Magna Visual Magnetic Picture Hangers",String,"Paul Gonzalez",String,16100,Number,-115.54,Number,4.82,Number,5.72,Number,"Prince Edward Island",String,"Office Furnishings",String,0.47,Number
553,Number,M3682,Mix,"Filia McAdams",String,16320,Number,176.87,Number,125.99,Number,8.08,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.57,Number
554,Number,"Xerox 1978",Mix,"Joy Smith",String,16419,Number,-103.65,Number,5.78,Number,5.67,Number,"Prince Edward Island",String,Paper,String,0.36,Number
555,Number,"Sauder Forest Hills Library, Woodland Oak Finish",String,"Greg Guthrie",String,17090,Number,-443.78,Number,140.98,Number,36.09,Number,"Prince Edward Island",String,Bookcases,String,0.77,Number
556,Number,"Global High-Back Leather Tilter, Burgundy",String,"Greg Guthrie",String,17090,Number,-1086.43,Number,122.99,Number,70.2,Number,"Prince Edward Island",String,"Chairs & Chairmats",String,0.74,Number
557,Number,"Wirebound Message Book, 4 per Page",Mix,"Joy Smith",String,17315,Number,64.01,Number,5.43,Number,0.95,Number,"Prince Edward Island",String,Paper,String,0.36,Number
558,Number,"Memorex 4.7GB DVD+RW, 3/Pack",Mix,"Joy Smith",String,17376,Number,425.08,Number,28.48,Number,1.99,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.4,Number
559,Number,"Hoover WindTunnel™ Plus Canister Vacuum",String,"Greg Guthrie",String,18210,Number,2437.17,Number,363.25,Number,19.99,Number,"Prince Edward Island",String,Appliances,String,0.57,Number
560,Number,"Newell 335",Mix,"Greg Guthrie",String,18210,Number,12.58,Number,2.88,Number,0.7,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.56,Number
561,Number,"Zoom V.92 USB External Faxmodem",Mix,"Jack Lebron",String,18273,Number,-3.68,Number,49.99,Number,19.99,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.41,Number
562,Number,"Telescoping Adjustable Floor Lamp",String,"Joy Smith",String,18788,Number,-19.33,Number,19.99,Number,11.17,Number,"Prince Edward Island",String,"Office Furnishings",String,0.6,Number
563,Number,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Mix,"Evan Minnotte",String,19042,Number,54.90,Number,40.98,Number,7.47,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.37,Number
564,Number,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",String,"Chuck Magee",String,19073,Number,20.08,Number,10.64,Number,5.16,Number,"Prince Edward Island",String,"Office Furnishings",String,0.57,Number
565,Number,"Prang Drawing Pencil Set",String,"Chuck Magee",String,19073,Number,5.81,Number,2.78,Number,1.34,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.45,Number
566,Number,"Xerox 1992",Mix,"Filia McAdams",String,19365,Number,-43.36,Number,5.98,Number,5.2,Number,"Prince Edward Island",String,Paper,String,0.36,Number
567,Number,"TI 36X Solar Scientific Calculator",Mix,"Jack Lebron",String,19617,Number,270.69,Number,23.99,Number,6.3,Number,"Prince Edward Island",String,"Office Machines",String,0.38,Number
568,Number,"V 3600 Series",Mix,"Jack Lebron",String,19617,Number,-296.37,Number,65.99,Number,8.99,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.58,Number
569,Number,"Sharp AL-1530CS Digital Copier",Mix,"Jack Lebron",String,20033,Number,-1011.32,Number,499.99,Number,24.49,Number,"Prince Edward Island",String,"Copiers and Fax",String,0.36,Number
570,Number,"Hon 4-Shelf Metal Bookcases",Mix,"Harold Engle",String,21223,Number,-144.43,Number,100.98,Number,26.22,Number,"Prince Edward Island",String,Bookcases,String,0.6,Number
571,Number,"Deflect-o EconoMat Nonstudded, No Bevel Mat",String,"Harold Engle",String,21223,Number,122.41,Number,51.65,Number,18.45,Number,"Prince Edward Island",String,"Office Furnishings",String,0.65,Number
572,Number,"Lock-Up Easel 'Spel-Binder'",String,"Jack Lebron",String,21378,Number,391.60,Number,28.53,Number,1.49,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.38,Number
573,Number,"U.S. Robotics 56K Internet Call Modem",Mix,"Jack Lebron",String,21378,Number,26.94,Number,99.99,Number,19.99,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.5,Number
574,Number,"Boston 1730 StandUp Electric Pencil Sharpener",Mix,"Frank Atkinson",String,21542,Number,-27.34,Number,21.38,Number,8.99,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.59,Number
575,Number,"Bretford CR4500 Series Slim Rectangular Table",Mix,"Frank Atkinson",String,21542,Number,715.18,Number,348.21,Number,84.84,Number,"Prince Edward Island",String,Tables,String,0.66,Number
576,Number,"Euro Pro Shark Stick Mini Vacuum",String,"Jack Lebron",String,22469,Number,-678.63,Number,60.98,Number,49,Number,"Prince Edward Island",String,Appliances,String,0.59,Number
577,Number,"Hon 5100 Series Wood Tables",Mix,"Jack Lebron",String,22469,Number,40.32,Number,290.98,Number,69,Number,"Prince Edward Island",String,Tables,String,0.67,Number
578,Number,"Belkin ErgoBoard™ Keyboard",String,"Evan Minnotte",String,22656,Number,-77.89,Number,30.98,Number,6.5,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.64,Number
579,Number,"Riverleaf Stik-Withit® Designer Note Cubes®",String,"Joy Smith",String,22695,Number,161.13,Number,10.06,Number,2.06,Number,"Prince Edward Island",String,Paper,String,0.39,Number
580,Number,"Coloredge Poster Frame",String,"Dan Reichenbach",String,23076,Number,122.21,Number,14.2,Number,5.3,Number,"Prince Edward Island",String,"Office Furnishings",String,0.46,Number
581,Number,8860,Number,"Jack Lebron",String,24038,Number,82.04,Number,65.99,Number,5.26,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.56,Number
582,Number,"Xerox 1920",Mix,"Frank Atkinson",String,24067,Number,-79.35,Number,5.98,Number,7.5,Number,"Prince Edward Island",String,Paper,String,0.4,Number
583,Number,252,Number,"Frank Atkinson",String,24067,Number,751.38,Number,65.99,Number,5.92,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.55,Number
584,Number,"Sharp 1540cs Digital Laser Copier",Mix,"Erica Bern",String,24388,Number,-704.66,Number,549.99,Number,49,Number,"Prince Edward Island",String,"Copiers and Fax",String,0.35,Number
585,Number,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",String,"Jack Lebron",String,24451,Number,-564.74,Number,68.81,Number,60,Number,"Prince Edward Island",String,Appliances,String,0.41,Number
586,Number,"Wilson Jones Impact Binders",String,"Filia McAdams",String,24806,Number,-57.99,Number,5.18,Number,5.74,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.36,Number
587,Number,"GBC DocuBind 200 Manual Binding Machine",Mix,"Jack Lebron",String,24965,Number,580.15,Number,420.98,Number,19.99,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.35,Number
588,Number,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",String,"Jack Lebron",String,24965,Number,330.63,Number,29.18,Number,8.55,Number,"Prince Edward Island",String,"Office Furnishings",String,0.42,Number
589,Number,"Sanford Liquid Accent Highlighters",String,"Giulietta Baptist",String,25154,Number,13.84,Number,6.68,Number,1.5,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.48,Number
590,Number,"Holmes Harmony HEPA Air Purifier for 17 x 20 Room",Mix,"Joy Smith",String,25315,Number,3506.24,Number,225.04,Number,11.79,Number,"Prince Edward Island",String,Appliances,String,0.42,Number
591,Number,"SANFORD Liquid Accent™ Tank-Style Highlighters",String,"Joy Smith",String,25315,Number,4.34,Number,2.84,Number,0.93,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.54,Number
592,Number,"Hon iLevel™ Computer Training Table",String,"Joy Smith",String,25315,Number,-1048.25,Number,31.76,Number,45.51,Number,"Prince Edward Island",String,Tables,String,0.65,Number
593,Number,"Eldon® 200 Class™ Desk Accessories, Burgundy",Mix,"Greg Guthrie",String,25376,Number,-31.83,Number,6.28,Number,5.29,Number,"Prince Edward Island",String,"Office Furnishings",String,0.43,Number
594,Number,"80 Minute CD-R Spindle, 100/Pack - Staples",Mix,"Carlos Soltero",String,26240,Number,439.77,Number,39.48,Number,1.99,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.54,Number
595,Number,"3M Hangers With Command Adhesive",Mix,"Carlos Soltero",String,26240,Number,12.00,Number,3.7,Number,1.61,Number,"Prince Edward Island",String,"Office Furnishings",String,0.44,Number
596,Number,"X-Rack™ File for Hanging Folders",String,"Harold Engle",String,26791,Number,-48.20,Number,11.29,Number,5.03,Number,"Prince Edward Island",String,"Storage & Organization",String,0.59,Number
597,Number,688,Number,"Erica Bern",String,28836,Number,2342.21,Number,195.99,Number,4.2,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.6,Number
598,Number,"Ibico EB-19 Dual Function Manual Binding System",Mix,"Erica Bern",String,28836,Number,170.08,Number,172.99,Number,19.99,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.39,Number
599,Number,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Mix,"Hilary Holden",String,28995,Number,73.19,Number,30.98,Number,5.76,Number,"Prince Edward Island",String,Paper,String,0.4,Number
600,Number,"Southworth 25% Cotton Premium Laser Paper and Envelopes",Mix,"Hilary Holden",String,28995,Number,80.92,Number,19.98,Number,8.68,Number,"Prince Edward Island",String,Paper,String,0.37,Number
601,Number,"Timeport L7089",Mix,"Jack Lebron",String,29121,Number,575.33,Number,125.99,Number,7.69,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.58,Number
602,Number,"Safco Contoured Stacking Chairs",String,"Filia McAdams",String,29319,Number,1151.69,Number,238.4,Number,24.49,Number,"Prince Edward Island",String,"Chairs & Chairmats",String,,String
603,Number,"Canon PC-428 Personal Copier",Mix,"Filia McAdams",String,29319,Number,983.55,Number,199.99,Number,24.49,Number,"Prince Edward Island",String,"Copiers and Fax",String,0.46,Number
604,Number,"Staples Standard Envelopes",String,"Greg Guthrie",String,29382,Number,78.96,Number,5.68,Number,1.39,Number,"Prince Edward Island",String,Envelopes,String,0.38,Number
605,Number,"12-1/2 Diameter Round Wall Clock",Mix,"Greg Guthrie",String,29382,Number,35.09,Number,19.98,Number,10.49,Number,"Prince Edward Island",String,"Office Furnishings",String,0.49,Number
606,Number,"Lexmark Z55se Color Inkjet Printer",Mix,"Harold Engle",String,29445,Number,415.55,Number,90.97,Number,28,Number,"Prince Edward Island",String,"Office Machines",String,0.38,Number
607,Number,"Binder Clips by OIC",String,"Philip Brown",String,29762,Number,0.78,Number,1.48,Number,0.7,Number,"Prince Edward Island",String,"Rubber Bands",String,0.37,Number
608,Number,"Avanti 4.4 Cu. Ft. Refrigerator",Mix,"Helen Abelman",String,30048,Number,433.63,Number,180.98,Number,55.24,Number,"Prince Edward Island",String,Appliances,String,0.57,Number
609,Number,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",String,"Hilary Holden",String,30243,Number,650.56,Number,60.22,Number,3.5,Number,"Prince Edward Island",String,Appliances,String,0.57,Number
610,Number,"Canon PC-428 Personal Copier",Mix,"Hilary Holden",String,30243,Number,340.88,Number,199.99,Number,24.49,Number,"Prince Edward Island",String,"Copiers and Fax",String,0.46,Number
611,Number,"Aluminum Document Frame",String,"Christopher Schild",String,30372,Number,-7.39,Number,12.22,Number,2.85,Number,"Prince Edward Island",String,"Office Furnishings",String,0.55,Number
612,Number,"Wausau Papers Astrobrights® Colored Envelopes",String,"Carlos Soltero",String,30499,Number,5.66,Number,5.98,Number,2.5,Number,"Prince Edward Island",String,Envelopes,String,0.36,Number
613,Number,"Newell 312",Mix,"Carlos Soltero",String,30499,Number,42.34,Number,5.84,Number,1.2,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.55,Number
614,Number,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Mix,"Erica Bern",String,32199,Number,-99.76,Number,4.91,Number,4.97,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.38,Number
615,Number,"Canon imageCLASS 2200 Advanced Copier",Mix,"Erica Bern",String,32199,Number,-3061.82,Number,3499.99,Number,24.49,Number,"Prince Edward Island",String,"Copiers and Fax",String,0.37,Number
616,Number,"Newell 312",Mix,"Erica Bern",String,32199,Number,-0.01,Number,5.84,Number,1.2,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.55,Number
617,Number,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Mix,"Erica Bern",String,32327,Number,-1430.45,Number,550.98,Number,147.12,Number,"Prince Edward Island",String,Tables,String,0.8,Number
618,Number,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Mix,"Joy Smith",String,32676,Number,523.43,Number,45.19,Number,1.99,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.55,Number
619,Number,"KF 788",Mix,"Joy Smith",String,32835,Number,-19.44,Number,45.99,Number,4.99,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.56,Number
620,Number,"Imation Neon Mac Format Diskettes, 10/Pack",Mix,"Christopher Schild",String,32869,Number,-82.83,Number,8.12,Number,2.83,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.77,Number
621,Number,"Deflect-o EconoMat Nonstudded, No Bevel Mat",String,"Christopher Schild",String,32869,Number,25.04,Number,51.65,Number,18.45,Number,"Prince Edward Island",String,"Office Furnishings",String,0.65,Number
622,Number,"Sanford Liquid Accent Highlighters",String,"Christopher Schild",String,32869,Number,-7.51,Number,6.68,Number,1.5,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.48,Number
623,Number,2180,Number,"Christopher Schild",String,32869,Number,930.99,Number,175.99,Number,8.99,Number,"Prince Edward Island",String,"Telephones and Communication",String,0.57,Number
624,Number,"Sharp AL-1530CS Digital Copier",Mix,"Evan Minnotte",String,33763,Number,-234.79,Number,499.99,Number,24.49,Number,"Prince Edward Island",String,"Copiers and Fax",String,0.36,Number
625,Number,"Executive Impressions 14"" Contract Wall Clock",Mix,"Christopher Schild",String,34048,Number,-10.74,Number,22.23,Number,3.63,Number,"Prince Edward Island",String,"Office Furnishings",String,0.52,Number
626,Number,"*Staples* Highlighting Markers",String,"Greg Guthrie",String,34275,Number,26.66,Number,4.84,Number,0.71,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.52,Number
627,Number,"Boston 19500 Mighty Mite Electric Pencil Sharpener",Mix,"Harold Engle",String,34438,Number,-30.72,Number,20.15,Number,8.99,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.58,Number
628,Number,"Xerox 1995",Mix,"Philip Brown",String,34880,Number,-62.43,Number,6.48,Number,5.19,Number,"Prince Edward Island",String,Paper,String,0.37,Number
629,Number,"Self-Adhesive Ring Binder Labels",String,"Carlos Soltero",String,34978,Number,-269.91,Number,3.52,Number,6.83,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.38,Number
630,Number,"Catalog Binders with Expanding Posts",String,"Jennifer Braxton",String,35141,Number,469.28,Number,67.28,Number,19.99,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.4,Number
631,Number,"*Staples* Packaging Labels",String,"Dan Reichenbach",String,35300,Number,7.15,Number,2.89,Number,0.49,Number,"Prince Edward Island",String,Labels,String,0.38,Number
632,Number,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",String,"Dan Reichenbach",String,35300,Number,126.03,Number,41.32,Number,8.66,Number,"Prince Edward Island",String,"Office Furnishings",String,0.76,Number
633,Number,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Mix,"Dan Reichenbach",String,35300,Number,29.62,Number,8.95,Number,2.01,Number,"Prince Edward Island",String,Paper,String,0.39,Number
634,Number,"9-3/4 Diameter Round Wall Clock",Mix,"Carlos Soltero",String,35558,Number,-22.12,Number,13.79,Number,8.78,Number,"Prince Edward Island",String,"Office Furnishings",String,0.43,Number
635,Number,"Logitech Cordless Elite Duo",String,"Carlos Soltero",String,36293,Number,250.47,Number,100.98,Number,7.18,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.4,Number
636,Number,"Xerox 220",Mix,"Carlos Soltero",String,36293,Number,-94.79,Number,6.48,Number,7.49,Number,"Prince Edward Island",String,Paper,String,0.37,Number
637,Number,"Logitech Cordless Elite Duo",String,"Giulietta Baptist",String,36516,Number,51.30,Number,100.98,Number,7.18,Number,"Prince Edward Island",String,"Computer Peripherals",String,0.4,Number
638,Number,"Canon Image Class D660 Copier",Mix,"Jack Lebron",String,36677,Number,-734.33,Number,599.99,Number,24.49,Number,"Prince Edward Island",String,"Copiers and Fax",String,0.44,Number
639,Number,"12 Colored Short Pencils",Mix,"Guy Armstrong",String,37185,Number,-13.27,Number,2.6,Number,2.4,Number,"Prince Edward Island",String,"Pens & Art Supplies",String,0.58,Number
640,Number,"Avery Legal 4-Ring Binder",Mix,"Hilary Holden",String,37888,Number,274.90,Number,20.98,Number,1.49,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.35,Number
641,Number,"Hoover® Commercial Lightweight Upright Vacuum",String,"Jack Lebron",String,38310,Number,-141.76,Number,3.48,Number,49,Number,"Prince Edward Island",String,Appliances,String,0.59,Number
642,Number,"Colored Envelopes",String,"Erica Bern",String,40327,Number,-20.27,Number,3.69,Number,2.5,Number,"Prince Edward Island",String,Envelopes,String,0.39,Number
643,Number,"Xerox 1953",Mix,"Erica Bern",String,40327,Number,-123.87,Number,4.28,Number,5.74,Number,"Prince Edward Island",String,Paper,String,0.4,Number
644,Number,"GBC DocuBind 200 Manual Binding Machine",Mix,"Harold Engle",String,40480,Number,3049.45,Number,420.98,Number,19.99,Number,"Prince Edward Island",String,"Binders and Binder Accessories",String,0.35,Number
